#--------------------------------------------------------------------------------,
CAST                        ,,       18851530,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,EE-178         ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,        59.6083,decimal degrees,,
Longitude                   ,,         24.350,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,              8,,,
Time                        ,,           9.33,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     4.373,0, ,     6.283,0, ,
         2,        5.,0, ,     4.378,0, ,     6.284,0, ,
         3,       10.,0, ,     4.415,0, ,     6.292,0, ,
         4,       15.,0, ,     4.497,0, ,     6.309,0, ,
         5,       20.,0, ,     4.531,0, ,     6.318,0, ,
         6,       25.,0, ,      4.58,0, ,     6.333,0, ,
         7,       30.,0, ,     4.642,0, ,     6.355,0, ,
         8,       35.,0, ,     4.758,0, ,     6.402,0, ,
         9,       40.,0, ,     4.775,0, ,     6.409,0, ,
        10,       45.,0, ,     4.803,0, ,     6.421,0, ,
        11,       50.,0, ,      4.93,0, ,     6.486,0, ,
        12,       55.,0, ,     4.993,0, ,     6.501,0, ,
        13,       60.,0, ,     5.099,0, ,     6.548,0, ,
        14,       65.,0, ,      5.29,0, ,      6.79,0, ,
        15,       70.,0, ,      5.52,0, ,     7.135,0, ,
        16,       75.,0, ,     5.566,0, ,     7.202,0, ,
        17,       80.,0, ,     5.628,0, ,     7.316,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       18851531,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,EE-178         ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,        59.8383,decimal degrees,,
Longitude                   ,,        24.8383,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,              8,,,
Time                        ,,          13.92,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
Original units        ,Oxygen,            88.,NODC code,ml/l (milli-iter per liter),
VARIABLES ,Depth     ,F,O,Oxygen     ,F,O,,
UNITS     ,m         , , ,umol/kg   ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      331.,0, ,
         2,        5.,0, ,      331.,0, ,
         3,       10.,0, ,      309.,0, ,
         4,       15.,0, ,   ---*---,0, ,
         5,       20.,0, ,   ---*---,0, ,
         6,       25.,0, ,   ---*---,0, ,
         7,       30.,0, ,   ---*---,0, ,
         8,       35.,0, ,      221.,8, ,
         9,       40.,0, ,      207.,8, ,
        10,       45.,0, ,      195.,8, ,
        11,       50.,0, ,      184.,4, ,
        12,       55.,0, ,      175.,8, ,
        13,       60.,0, ,      167.,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       18851532,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,EE-178         ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         59.717,decimal degrees,,
Longitude                   ,,         25.017,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,              8,,,
Time                        ,,          15.67,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
Original units        ,Oxygen,            88.,NODC code,ml/l (milli-iter per liter),
